Name,Price,Rating,Stars
جراب مقاوم للصدمات من البولي يوريثين المقاوم للحرارة، بظهر متين كربونات وإطار للحرارة لموبايل آيفون 11 إصدار 2019 مقاس 6.1 بوصة، حافظة بسيطة، لالهاتف الذكي، شفاف,45.‎,84,3.3 من 5 نجوم
موبايل اوبو رينو 11 ذاكرة 12 جيجابايت و256 جيجابايت شبكة الجيل الخامس 5G، لون روك جراي - إصدار الإمارات العربية المتحدة، رمادي,"16,350.‎",12,4.2 من 5 نجوم
نوكيا G21 ثنائي شرائح الاتصال 4 جيجا رام+ ذاكرة روم 128 جيجا (6.5 بوصة) (4G) - (دارك)، أزرق,"3,699.‎",498,3.5 من 5 نجوم
"أوبو رينو 11 الجيل الخامس 12 جيجابايت رام 256 جيجابايت - ويف جرين , بشريحتين","16,390.‎",2,1.0 من 5 نجوم
موبايل ريلمي 11 برو ثنائي شرائح الاتصال بذاكرة ROM 256 جيجا بايت وذاكرة رام 8 جيجابايت وشبكة الجيل الخامس 5G بلون اسود نجمي، بلوتوث، واي فاي,"12,995.‎",72,4.4 من 5 نجوم
شاومي ريدمي نوت 11،90 هرتز أموليد بايونير ، 128 جيجا ، 6 جيجا رام ، رمادي جرافيت، بشريحتين,,"12,312",4.5 من 5 نجوم
مايكروسوفت ويندوز 11 برو [رمز رقمي وUSB ],693.‎,5,4.8 من 5 نجوم
وحدة تحكم بسلك لجهاز Xbox 360 من يااي ، ألعاب مع اهتزاز مزدوج تيربو متوافقة 360/360 سليم والعاب الكمبيوتر بنظام ويندوز 7 و8 و10 و11 اكس بوكس USB أسود,439.‎,"9,988",4.4 من 5 نجوم
11-11 ميموريز ريتولد للبلاي ستيشن 4 من بانداي نامكو,499.‎,95,4.2 من 5 نجوم
مورتال كومبات 11 التيمت للاكس بوكس من وارنر بروذرز انتراكتيف,"2,100.‎",تبقى 2 فقط - اطلبه الآن.,
قاعدة ماوس الالعاب XXL باضاءة RGB LED متعددة الالوان مع 11 وضع اضاءة و7 الوان LED و4 اوضاع تاثير من سي اس ال، قابلة للغسيل ومناسبة للمكتب، مقاس 900×400 ملم من - تصميم خريطة العالم، زجاج,399.‎,748,4.6 من 5 نجوم
Bond 11+ English Assessment Papers 10-11 Years Book 2: For 11+ GL assessment and Entrance Exams,265.‎,من,4.3 من 5 نجوم
ويندوز 11 برو لجهاز كمبيوتر واحد [مفتاح المنتج فقط],649.‎,,
شاومي ريدمي نوت 11s، ذاكرة RAM سعة 8 جيجا، ذاكرة ROM سعة 128 جيجا - لون رمادي جرافيت، بشريحتين,,"1,191",4.6 من 5 نجوم
موبايل سمارت سامسونج جالاكسي A55 الجيل الخامس 5G، نظام أندرويد، ثنائي شرائح الاتصال، ذاكرة رام 8 جيجابايت، ذاكرة تخزين 128 جيجابايت، اوسام ايس بلو,"16,799.‎",80,4.3 من 5 نجوم
موبايل نوكيا c10 بشريحتين وذاكرة رام 2 جيجابايت وذاكرة تخزين 32 جيجابايت وشاشة 6.51 بوصة LCD بدقة +hd وكاميرا أمامية على شكل V ونظام اندرويد 11 وخاصية التعرف على الوجه ومستشعر تقارب، لون رمادي,,73,3.2 من 5 نجوم
موبايل بينكو Y11 رام 1 جيجابايت 32 جيجا بايت ازرق داكن شبكة الجيل الثالث 3G، بينكو واي 11، بشريحتين,"1,700.‎",2,2.5 من 5 نجوم
موبايل سمارت سامسونج جالاكسي A55 الجيل الخامس 5G، نظام أندرويد، ثنائي شرائح الاتصال، ذاكرة رام 8 جيجابايت، ذاكرة تخزين 128 جيجابايت، أخضر,"16,799.‎",80,4.3 من 5 نجوم
جراب حماية مع واقي كاميرا لهاتف اوبو رينو 11 بتصميم خلية النحل، مضاد للصدمات متوافق مع اوبو رينو 11 (رمادي),195.‎,1,1.0 من 5 نجوم
جراب حماية من السيليكون والبولي يوريثين الحراري وبطانة من المايكروفايبر مع حماية للكاميرا لموبايل اوبو ريلمي 11 شبكة الجيل الخامس 5G (أسود),135.‎,5,4.2 من 5 نجوم
هاتف نوكيا g11 بلس الذكي، ثنائي الشريحة، ذاكرة رام 4 جيجابايت، ذاكرة 64 جيجابايت، شاشة 6.5 HD+، بطارية 5000 مللي امبير، نظام تشغيل اندرويد 12 جاهز، نظام التعرف على الوجه، مستشعر بصمة الاصبع، أزرق,"3,950.‎",9,3.6 من 5 نجوم
موبايل ريلمي C67 ثنائي شرائح الاتصال بذاكرة روم 256 جيجابايت وذاكرة RAM 8 جيجابايت (جي اس ام فقط | بدون سي دي ام ايه) هاتف ذكي 4G/LTE مفتوح من المصنع (صني اويسيس) - اصدار عالمي,"7,430.‎",83,4.2 من 5 نجوم
ابل ايفون 13 128 جيجابايت - اخضر، بشريحتين,"35,900.‎",60,4.5 من 5 نجوم
,,11 pro max,
,,,
,,,
,,,
تحقّق من صفحة كل منتج من أجل خيارات الشراء الأخرى. قد يختلف السعر والتفاصيل الأخرى حسب مقاس المنتج ولونه.,,تحقّق من صفحة كل منتج من أجل خيارات الشراء الأخرى. قد يختلف السعر والتفاصيل الأخرى حسب مقاس المنتج ولونه.,
موبايل ابل ايفون 14 الجديد (128 جيجابايت) ميدنايت، بشريحتين,"37,499.‎",103,4.4 من 5 نجوم
ابل ايفون 14 الجديد (128 جيجابايت) ازرق، بشريحتين,,130,4.7 من 5 نجوم
ابل ايفون 14 (128 جيجابايت) - بنفسجي، بلوتوث، واي فاي، USB، بشريحتين,,57,4.6 من 5 نجوم
,,,
موبايل سامسونج جالاكسي A14 شبكة الجيل الرابع 4G بشريحتين اتصال، نظام اندرويد، ذاكرة تخزين 64 جيجابايت، ذاكرة RAM 4 جيجابايت، اسود,"5,799.‎",64,4.0 من 5 نجوم
موبايل ابل ايفون 13 مع فيس تايم (128 جيجابايت) - أزرق، بشريحتين,"30,359.‎",225,4.4 من 5 نجوم
